Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Habitación;San Borja;1;0;0;40;1700;500;60
Casa;Lurigancho;2;0;1;100;7000;;
Local comercial;Ate;0;4;0;150;5200;4020;1111
Departamento;Pachacámac;1;0;0;15;800;390;20
Departamento;Ate;1;0;0;48;800;230;
Departamento;Barranco;3;1;0;70;1200;;
Departamento;Comas;2;0;0;50;1300;301;17
Casa en condominio;Ate;5;4;5;750;22000;;
Casa en condominio;El Agustino;2;2;0;65;1000;;
Local comercial;Pachacámac;0;3;0;695;35000;19193;3030
Departamento;Pachacámac;1;0;0;36;1200;;
Departamento;Mi Perú;2;1;0;70;1500;642;74
Departamento;San Borja;3;1;1;90;1500;455;14
Departamento;San Borja;1;0;1;40;2000;561;50
Habitación;San Borja;1;0;0;27;1800;501;
Departamento;San Borja;4;3;1;243;13000;2000;803
Edificio completo;Chorrillos;0;0;0;536;28000;;3563
Flat;Chorrillos;3;1;1;80;3800;1040;
Casa en condominio;San Luis;3;1;1;115;2000;;
Departamento;Callao;3;0;0;54;950;300;28
Departamento;Ate;2;1;1;67;1700;589;147
Departamento;San Miguel;2;1;0;110;1900;700;138
Casa en condominio;Ate;4;3;2;466;7500;2695;
Departamento;Santa Rosa;3;1;0;68;1000;670;
Departamento;San Miguel;2;1;0;78;2000;700;
Flat;Rímac;1;0;0;56;4500;1900;1500
Local comercial;Punta Negra;0;1;0;25;1100;600;
Departamento;Comas;3;1;1;125;7000;2100;463
Departamento;San Miguel;1;0;0;48;750;772;25
Tienda/Salón;Lince;0;1;0;35;1300;950;
Departamento;Ate;3;3;1;175;4200;1500;500
Casa;Lince;4;1;2;400;12000;;
Departamento;Chorrillos;2;1;0;76;2500;740;
Departamento;San Borja;3;1;2;378;10000;2150;700
Departamento;San Borja;3;0;0;180;5500;1780;420
Local comercial;Ate;0;1;0;22;700;;
Departamento;Jesús María;3;1;1;105;2300;648;
Departamento;Rímac;3;1;0;110;3900;1500;120
Local comercial;Pachacámac;0;5;0;1306;117540;19486;
Habitación;San Borja;1;0;0;27;1300;380;53
Departamento;Miraflores;3;3;1;200;3500;1780;496
Departamento;Ate;3;1;2;70;1800;1095;140
Local comercial;Jesús María;0;1;0;50;1500;250;
Departamento;San Borja;4;1;0;244;5000;2500;4100
Departamento;Ate;3;2;1;110;4500;2000;450
Local comercial;Pachacámac;0;0;0;460;7500;4797;2019
Local comercial;Pachacámac;0;0;0;1170;140456;23409;5852
Departamento;Jesús María;2;2;2;90;3000;1340;
Departamento;Jesús María;3;2;2;100;2600;380;
Departamento;Ate;3;1;1;72;2350;600;70
Departamento;Breña;2;2;1;180;4000;2500;300
Departamento;Jesús María;3;1;2;92;2300;840;200
Local comercial;Pachacámac;0;1;0;70;1900;1080;251
Local comercial;Lurigancho;0;1;0;50;4000;1160;200
Departamento;Pachacámac;1;0;0;27;750;371;19
Departamento;Comas;1;0;0;35;2000;650;75
Departamento;Comas;1;0;0;38;1400;530;77
Departamento;Jesús María;2;1;2;83;1600;1160;157
Tienda/Salón;San Borja;0;0;0;34;2000;735;
Casa en condominio;Ate;5;10;5;1600;25000;1600;
Departamento;Ate;4;3;3;153;6500;2300;434
Local comercial;Jesús María;0;0;0;84;1500;1546;
Departamento;Ancón;4;3;4;267;18000;3100;400
Departamento;Comas;3;1;0;87;3200;1305;217
Departamento;Santa Anita;3;1;0;90;1550;844;80
Departamento;Villa María del Triunfo;3;1;0;53;1400;385;28
Departamento;Chorrillos;3;1;1;108;5950;1405;289
Departamento;San Luis;2;0;0;86;1800;600;82
Departamento;Jesús María;2;1;1;74;1850;675;200
Local comercial;Santa Anita;0;0;0;32;700;380;56
Departamento;Lince;3;1;1;74;1900;556;98
Departamento;Comas;3;2;1;150;8000;2400;
Local comercial;Pachacámac;0;0;0;1;2850;2050;
Departamento;Comas;3;1;1;140;7900;2900;500
Casa;Santa Anita;2;0;0;51;1500;50;
Departamento;Lurigancho;2;2;0;95;4000;1170;
Departamento;Ate;2;1;1;70;;970;68
Departamento;Comas;2;0;0;60;1000;380;280
Local comercial;Ate;0;1;0;33;700;1010;56
Local comercial;Lurigancho;0;1;0;24;2500;682;112
Almacén;Villa El Salvador;0;6;0;2236;40000;;
Local comercial;Ate;0;1;0;32;850;719;
Casa;Punta Hermosa;4;2;4;730;28000;2000;12000
Casa comercial;Chorrillos;0;0;0;140;7000;;137
Almacén;San Miguel;0;3;0;1000;9800;;820
Casa en condominio;Callao;5;3;1;140;2500;1200;
Local comercial;Pachacámac;0;1;0;390;25397;12090;1318
Local comercial;Pachacámac;0;0;0;320;12000;3740;1541
Departamento;Rímac;2;1;1;80;3500;990;245
